x,y,z
-800,0,10
-800,0,20
-800,0,30
-800,0,40
-800,0,50
-800,0,60
-800,0,70
-800,0,75
-800,0,75.0
-790,0,41.671875
-780,0,9.1875
-770,0,-22.453125
-760,0,-53.25
-750,0,-83.203125
-740,0,-112.3125
-730,0,-140.578125
-720,0,-168.0
-710,0,-194.578125
-700,0,-220.3125
-690,0,-245.20312499999977
-680,0,-269.2499999999998
-670,0,-292.4531249999998
-660,0,-314.8124999999998
-650,0,-336.3281249999998
-640,0,-357.0
-630,0,-376.828125
-620,0,-395.8125
-610,0,-413.953125
-600,0,-431.25
-590,0,-447.703125
-580,0,-463.3125
-570,0,-478.078125
-560,0,-492.0
-550,0,-505.078125
-540,0,-517.3125
-530,0,-528.703125
-520,0,-539.25
-510,0,-548.953125
-500,0,-557.8125
-490,0,-565.8281249999999
-480,0,-572.9999999999999
-470,0,-579.3281249999999
-460,0,-584.8124999999999
-450,0,-589.453125
-440,0,-593.25
-430,0,-596.203125
-420,0,-598.3125
-410,0,-599.578125
-400,0,-600.0
-390,0,-599.578125
-380,0,-598.3125
-370,0,-596.203125
-360,0,-593.25
-350,0,-589.453125
-340,0,-584.8125
-330,0,-579.328125
-320,0,-573.0
-310,0,-565.828125
-300,0,-557.8125
-290,0,-548.953125
-280,0,-539.25
-270,0,-528.703125
-260,0,-517.3125
-250,0,-505.078125
-240,0,-492.0
-230,0,-478.078125
-220,0,-463.3125
-210,0,-447.703125
-200,0,-431.25
-190,0,-413.953125
-180,0,-395.8125
-170,0,-376.828125
-160,0,-357.0
-150,0,-336.328125
-140,0,-314.8125
-130,0,-292.453125
-120,0,-269.25
-110,0,-245.203125
-100,0,-220.3125
-90,0,-194.578125
-80,0,-168.0
-70,0,-140.578125
-60,0,-112.3125
-50,0,-83.203125
-40,0,-53.25
-30,0,-22.453125
-20,0,9.1875
-10,0,41.671875
0,0,10
0,0,20
0,0,30
0,0,40
0,0,50
0,0,60
0,0,70
0,0,75
-800,0,85
-800,0,95
-800,0,105
-800,0,115
-800,0,125
-800,0,135
-800,0,145
-800,0,150
-800,0,150.00000000000068
-790,0,116.86505190311459
-780,0,84.51903114186848
-770,0,52.96193771626326
-760,0,22.193771626298023
-750,0,-7.7854671280276815
-740,0,-36.9757785467125
-730,0,-65.37716262975732
-720,0,-92.98961937716263
-710,0,-119.81314878892704
-700,0,-145.8477508650517
-690,0,-171.09342560553614
-680,0,-195.55017301038038
